ver_format,fmt_opt,app,ver_app,device_id,tick,date,time,device,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_t0,s_h0,gps_lat,gps_lon,gps_fix,gps_num,gps_alt
3,1,AirBox,0.35.2,74DA38B05428,1513794485,2017-12-21,02:28:05,公誠國小pm2.5,7570,100,1,0,25,28,20,18.37,70,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513795548,2017-12-21,02:45:48,公誠國小pm2.5,7573,100,1,0,25,27,20,18.5,70,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513796257,2017-12-21,02:57:37,公誠國小pm2.5,7575,100,1,0,25,30,20,18.62,70,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513799092,2017-12-21,03:44:52,公誠國小pm2.5,7583,100,1,0,15,18,13,17.87,69,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513802633,2017-12-21,04:43:53,公誠國小pm2.5,7593,100,1,0,15,18,11,18.12,67,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513805832,2017-12-21,05:37:12,公誠國小pm2.5,7602,100,1,0,16,20,13,18.12,67,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513809020,2017-12-21,06:30:20,公誠國小pm2.5,7611,100,1,0,14,18,11,18.37,67,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513809729,2017-12-21,06:42:09,公誠國小pm2.5,7613,100,1,0,13,16,10,18.37,67,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513810437,2017-12-21,06:53:57,公誠國小pm2.5,7615,100,1,0,12,15,9,18.37,66,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513810792,2017-12-21,06:59:52,公誠國小pm2.5,7616,100,1,0,12,15,9,18.37,66,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38AF4906,1513791419,2017-12-21,01:36:59,MX-七堵第一觀測點,720,100,1,0,5,6,4,19,61,25.094,121.712,1,9,2
3,1,AirBox,0.35.2,74DA38AF4906,1513792218,2017-12-21,01:50:18,MX-七堵第一觀測點,722,100,1,0,6,7,4,19,60,25.094,121.712,1,9,2
3,1,AirBox,0.35.2,74DA38AF4906,1513800705,2017-12-21,04:11:45,MX-七堵第一觀測點,725,100,1,0,16,18,13,18.75,61,25.094,121.712,1,9,2
3,1,AirBox,0.35.2,74DA38AF4906,1513806834,2017-12-21,05:53:54,MX-七堵第一觀測點,738,100,1,0,17,18,13,18.75,59,25.094,121.712,1,9,2
3,1,AirBox,0.35.2,74DA38AF4906,1513808475,2017-12-21,06:21:15,MX-七堵第一觀測點,742,100,1,0,17,19,13,18.62,59,25.094,121.712,1,9,2
3,1,AirBox,0.35.2,74DA38AF4906,1513814121,2017-12-21,07:55:21,MX-七堵第一觀測點,756,100,1,0,23,25,18,19,58,25.094,121.712,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513791495,2017-12-21,01:38:15,中壢區普仁國小,544,100,1,0,8,12,6,16,66,24.948,121.244,1,9,2
